tempo,pwm,periodo
404.58,207,187680
404.77,207,186916
404.95,207,186504
405.16,207,208976
405.33,207,165848
405.51,207,177212
405.67,207,154704
405.88,207,188092
406.07,208,178380
406.26,208,177948
406.46,208,188236
406.61,208,155592
406.82,208,187976
407.01,208,187704
407.20,208,177980
407.39,208,187436
407.58,208,186856
407.74,208,157092
407.92,208,177076
408.09,208,156840
408.27,208,167028
408.45,208,177108
408.64,208,187648
408.84,208,187112
408.99,208,146292
409.15,208,156712
409.34,208,166332
409.53,208,167072
409.71,208,177388
409.91,208,198240
410.09,208,186300
410.27,208,177664
410.46,208,187668
410.65,208,178216
410.82,208,157084
411.00,209,166084
411.21,209,188104
411.40,209,187596
411.59,209,186780
411.76,209,165688
411.97,209,188100
412.15,209,178428
412.35,209,187988
412.56,209,187868
412.73,209,165716
412.92,209,166172
413.12,209,187880
413.32,209,197404
413.50,209,177252
413.70,209,197312
413.88,209,177824
414.04,209,156732
414.23,209,166736
414.42,209,166080
414.61,209,166900
414.80,209,186760
414.98,209,186984
415.16,209,178264
415.33,209,156460
415.52,209,166596
415.73,209,187928
415.89,209,157240
416.08,210,186940
416.27,210,186780
416.46,210,187676
416.61,210,156068
416.80,210,188228
416.99,210,166124
417.17,210,177752
417.37,210,188332
417.58,210,208592
417.74,210,165752
417.93,210,166212
418.14,210,187844
418.33,210,178560
418.49,210,156672
418.70,210,188284
418.89,210,187668
419.05,210,155516
419.25,210,188024
419.43,210,186840
419.62,210,187972
419.80,210,177080
419.97,210,165712
420.16,210,166604
420.33,210,156136
420.52,210,178736
420.71,210,178572
420.90,210,179664
421.07,211,165424
421.27,211,187344
421.44,211,166412
421.60,211,155920
421.79,211,166516
422.00,211,208844
422.16,211,157216
422.35,211,186876
422.54,211,187120
422.73,211,166376
422.91,211,156572
423.10,211,197120
423.31,211,209132
423.48,211,165096
423.69,211,208888
423.86,211,154932
424.07,211,188052
424.25,211,178292
424.44,211,177844
424.63,211,187464
424.82,211,186848
425.02,211,187948
425.19,211,177988
425.36,211,156508
425.57,211,187988
425.76,211,186800
425.95,211,188284
426.13,212,177448
426.30,212,155896
426.49,212,187468
426.67,212,156268
426.89,212,209776
427.05,212,156856
427.23,212,155748
427.42,212,179112
427.58,212,165016
427.77,212,166456
427.95,212,177488
428.15,212,187864
428.34,212,187732
428.49,212,134756
428.68,212,187292
428.87,212,165884
429.05,212,156856
429.21,212,156320
429.40,212,166492
429.58,212,178084
429.75,212,165024
429.93,212,187440
430.12,212,186648
430.31,212,188300
430.50,212,187048
430.71,212,209040
430.90,212,179036
431.06,213,165228
431.28,213,197676
431.46,213,178564
431.63,213,156784
431.84,213,188396
432.04,213,197160
432.22,213,177684
432.38,213,165976
432.57,213,187020
432.78,213,188612
432.95,213,165760
433.13,213,177816
433.32,213,188152
433.50,213,177164
433.69,213,188076
433.86,213,165360
434.04,213,187680
434.22,213,177384
434.42,213,188212
434.61,213,187464
434.79,213,156496
434.95,213,156676
435.14,213,165796
435.32,213,178568
435.49,213,165292
435.70,213,187972
435.86,213,157244
436.05,214,166252
436.26,214,188324
436.46,214,188128
436.65,214,165792
436.83,214,166652
437.01,214,156568
437.18,214,158000
437.37,214,166296
437.58,214,187336
437.74,214,157300
437.93,214,166788
438.12,214,188136
438.34,214,197664
438.52,214,176984
438.71,214,188152
438.87,214,165200
439.09,214,197888
439.27,214,177480
439.47,214,188100
439.66,214,187580
439.83,214,177412
440.03,214,188208
440.21,214,178184
440.38,214,156752
440.56,214,177488
440.74,214,178336
440.91,214,165824
441.09,215,177084
441.29,215,197440
441.47,215,177700
441.63,215,156848
441.82,215,187600
442.00,215,156264
442.17,215,156916
442.35,215,166192
442.53,215,177508
442.73,215,188476
442.91,215,177068
443.13,215,209668
443.32,215,187076
443.48,215,157268
443.67,215,166648
443.88,215,187676
444.05,215,165692
444.23,215,166616
444.41,215,177680
444.61,215,188108
444.79,215,156044
444.95,215,166192
445.17,215,187972
445.33,215,157740
445.52,215,166248
445.71,215,187320
445.90,215,187664
446.07,216,177280
446.27,216,189276
446.46,216,185788
446.65,216,166544
446.84,216,166828
447.05,216,187800
447.20,216,156484
447.39,216,178056
447.59,216,188040
447.81,216,198336
447.99,216,177472
448.18,216,178728
448.37,216,187872
448.55,216,177160
448.74,216,188028
448.91,216,165088
449.12,216,188320
449.28,216,165484
449.47,216,187040
449.66,216,187692
449.85,216,166044
450.04,216,167752
450.22,216,185920
450.41,216,165996
450.59,216,177444
450.78,216,177944
450.97,216,187500
451.13,217,165320
451.34,217,187720
451.54,217,188360
451.72,217,177176
451.91,217,187112
452.07,217,164920
452.26,217,166948
452.44,217,177204
452.64,217,187764
452.81,217,177676
452.98,217,156916
453.17,217,188292
453.36,217,165860
453.53,217,157080
453.73,217,188408
453.92,217,165864
454.11,217,167276
454.29,217,156940
454.49,217,187880
454.70,217,208924
454.88,217,186628
455.07,217,178584
455.27,217,187984
455.46,217,165932
455.64,217,187052
455.83,217,165416
456.02,218,188464
456.20,218,177300
456.39,218,177600
456.57,218,187788
456.74,218,165640
456.93,218,188136
457.12,218,166092
457.30,218,166080
457.48,218,177556
457.67,218,177820
457.84,218,165456
458.02,218,166536
458.23,218,187620
458.43,218,188176
458.61,218,177004
458.80,218,178008
459.00,218,196944
459.17,218,177320
459.36,218,187384
459.55,218,177968
459.75,218,188484
459.93,218,177024
460.12,218,187796
460.33,218,209016
460.53,218,188116
460.74,218,208744
460.93,218,179140
461.13,219,187992
461.32,219,188128
461.50,219,186000
461.69,219,187400
461.88,219,187268
462.09,219,187648
462.29,219,189264
462.47,219,186864
462.66,219,186628
462.85,219,187212
463.04,219,187360
463.23,219,166252
463.41,219,166336
463.59,219,155740
463.79,219,188072
463.97,219,177572
464.17,219,188800
464.34,219,177128
464.53,219,178424
464.72,219,178444
464.89,219,165392
465.06,219,177372
465.23,219,164764
465.41,219,157020
465.57,219,156412
465.79,219,197436
465.98,219,187652
466.17,220,186640
466.38,220,208940
466.57,220,178992
466.76,220,177848
466.95,220,189260
467.14,220,185604
467.33,220,166224
467.51,220,157120
467.70,220,187440
467.88,220,177872
468.05,220,156452
468.26,220,187816
468.45,220,179084
468.61,220,164796
468.80,220,187344
469.02,220,197536
469.20,220,156024
469.39,220,178244
469.58,220,187280
469.79,220,209092
469.96,220,165220
470.17,220,187092
470.33,220,166028
470.49,220,155608
470.70,220,187768
470.90,220,186452
471.08,221,177092
471.24,221,165572
471.43,221,165692
471.61,221,177508
471.77,221,156740
471.96,221,167460
472.17,221,187552
472.34,221,156664
472.53,221,166796
472.71,221,186392
472.92,221,187872
473.09,221,164968
473.31,221,197436
473.50,221,187168
473.68,221,165708
473.87,221,187136
474.09,221,197412
474.27,221,177060
474.46,221,186856
474.65,221,186164
474.83,221,156084
475.03,221,187780
475.22,221,165564
475.39,221,177500
475.56,221,164956
475.75,221,187024
